CustomerId,Response
1236,4
6193,3
1906,2
8814,10
3896,5
6057,7
1145,1
5226,1
8752,9
4463,2
6397,0
6375,6
3963,4
3517,2
9445,8
4563,6
5765,10
9094,5
7543,8
1563,7
9152,10
4050,7
1754,0
2889,6
2111,5
7286,6
7122,9
2032,7
5416,0
3878,1
4607,7
3562,6
9921,0
7772,9
1432,3
5075,9
1543,7
2479,8
2338,9
8109,10
9690,5
2613,3
4099,3
2845,3
3670,10
1016,2
3245,6
8907,3
2307,6
2047,10
4048,1
2151,5
4429,7
1156,2
5410,8
1649,5
8587,0
2680,6
8256,10
8962,2
5040,4
1244,8
2373,9
2215,7
8471,5
6025,10
6849,5
6272,3
5792,5
3945,9
6374,6
1462,1
2799,6
5566,3
2479,0
5060,5
1716,10
7408,10
7222,0
3761,7
6196,7
8501,4
2068,9
8711,7
4886,8
7714,0
8677,5
1097,1
1270,1
7424,1
1890,8
1153,0
4213,7
9799,1
8741,10
1490,8
1153,1
4411,3
5980,3
3179,0
8863,8
6985,0
3519,6
4271,5
9520,2
8184,10
1021,9
7775,3
2969,10
7423,3
7630,10
4982,4
3034,5
1610,7
6814,10
2877,2
4083,4
8265,1
1184,4
7462,5
4641,2
8898,0
9598,2
4304,9
8265,8
1506,1
9148,9
6146,5
6618,9
6007,6
3190,6
8797,2
4719,2
2742,6
1697,0
2980,2
6657,7
9643,7
8494,4
3469,10
1870,10
3809,7
7166,10
3268,10
3738,5
6424,2
2486,4
6583,4
6678,10
5753,3
6355,9
5548,2
5510,9
1844,9
6589,0
6169,8
8457,7
9446,5
1669,5
2312,8
2053,3
8499,4
1110,3
6732,6
6717,3
1592,7
8338,2
1833,8
8789,2
6332,7
7933,9
3093,4
2695,8
9668,10
8956,7
6372,2
9584,9
2456,0
1879,2
4828,9
5197,7
7036,9
3500,0
6727,1
8400,9
2835,8
7977,6
4573,6
7351,2
9338,7
2192,9
2188,7
5562,5
6789,2
6783,7
7603,0
6786,9
4303,9
3289,0
1691,7
7079,3
9810,6
8425,10
2528,1
3833,7
5721,10
6172,1
5976,8
3172,0
5421,9
8872,2
4606,4
4453,5
6252,5
7728,5
5814,0
1144,3
5602,10
4003,1
8126,1
9819,8
6871,10
7046,8
2581,8
9343,5
3487,6
8501,5
5473,8
9091,10
2997,1
8112,8
5824,10
9616,6
9830,3
4116,7
6581,9
5979,10
9999,10
1625,2
6859,10
3220,10
8754,5
6429,1
1602,8
5636,6
3092,8
8296,9
9799,6
5065,6
9603,3
9021,8
9735,2
2089,10
2175,10
3659,2
8989,8
9263,6
9845,2
8464,8
3279,7
8920,4
2201,10
1318,8
3503,3
3830,5
4237,0
8803,4
5346,2
8520,3
9758,6
3954,6
7826,2
7510,7
3807,5
5947,4
1106,1
5133,2
8281,10
6279,5
7357,3
9122,8
9996,9
5434,10
9406,8
5945,1
3844,5
7473,6
7685,2
2764,2
7542,0
7885,8
6139,0
5322,2
8079,3
9512,4
3548,2
2583,8
8529,2
6096,3
5209,9
3560,3
9908,4
8611,9
5891,8
8062,10
2595,6
7109,1
4622,9
8146,8
6355,6
2804,6
7039,8
3567,10
4727,5
3149,4
5440,10
3252,7
1380,2
3593,3
8791,2
7834,3
7011,7
7273,2
4735,7
6218,1
8059,6
3844,3
5831,6
1819,3
1815,8
1520,4
2694,4
6566,0
9188,10
6257,1
1945,3
7595,0
1733,9
9897,5
3792,10
5754,3
9610,2
8197,2
8046,2
8034,0
1043,1
9117,10
1313,2
7735,1
9024,0
9187,0
1374,3
1722,10
8881,8
6937,4
7646,0
6517,4
9346,2
9526,10
6381,4
5057,5
5764,8
3995,8
3885,9
2723,6
2889,10
5603,1
6005,1
3963,5
2183,9
4718,10
9337,9
2888,0
4821,8
6868,3
6968,6
9014,3
3600,10
3173,10
5139,1
4919,1
4111,0
9571,4
6842,6
4846,5
6627,0
4303,2
7646,2
8561,8
9489,9
5294,6
7152,1
2487,6
3854,10
9527,10
8714,5
4103,0
1175,7
2034,5
4844,5
6060,3
5919,6
2984,5
4357,6
9870,0
2473,9
6542,2
6086,10
1403,3
7479,6
6480,9
9647,8
4037,7
6173,2
7539,2
9256,4
8902,4
1659,3
6625,7
6160,2
2591,3
2208,8
6053,2
6517,2
1072,9
4453,2
1468,6
8732,3
6695,4
2633,5
4223,5
6596,8
5192,5
4479,8
8885,10
2390,10
4095,1
6095,5
6406,9
1053,5
4616,5
9931,4
2492,10
9570,6
5439,6
9605,3
8892,1
5892,1
6712,3
5441,6
2019,0
5311,2
2548,1
6350,5
1272,6
8726,4
7516,6
4520,6
2134,10
2640,1
5781,10
3924,8
3649,4
2255,9
4969,9
5337,10
4426,8
2107,10
9056,5
9207,0
2369,5
4875,4
8007,7
7678,4
3245,3
4761,1
8287,2
4426,7
9844,0
5677,3
8361,5
5872,9
1776,5
6410,3
9456,3
9355,2
3181,9
9311,2
3303,5
1115,9
9925,9
9858,4
4562,8
5344,7
6122,5
9462,4
5213,9
9604,6
8847,5
8938,6
2440,4
1246,2
8795,3
7173,10
8795,8
5163,8
1929,3
6121,5
4913,6
3413,9
7289,0
1382,10
5374,5
6020,10
8487,0
7213,6
8487,9
2569,5
8214,2
5455,9
3987,1
3849,3
5457,4
5743,1
2568,5
7536,8
8296,10
6508,4
3461,9
2680,1
6699,8
2776,6
1062,0
4796,10
8265,1
6075,9
5841,5
1799,9
7330,7
8090,10
4581,5
9532,6
7954,8
1505,9
8209,1
8679,3
5502,10
2532,7
4222,3
4960,10
4878,8
4176,4
2450,5
1070,8
3155,9
8208,4
9224,4
4366,2
3087,0
7329,10
2493,6
8185,9
7943,4
4581,8
9143,2
1700,0
4638,10
9314,7
1753,6
7007,4
7086,2
9651,6
3204,2
9866,9
8749,1
3600,1
8048,0
7690,7
1078,5
7060,5
8230,5
7998,10
5645,3
1781,1
3486,7
2307,4
7995,4
4968,7
1484,9
4597,9
2770,4
9934,2
8554,7
7826,5
2592,6
4549,4
2341,5
5530,3
1179,7
4745,6
7363,10
5373,3
6429,5
9743,8
1450,0
8889,5
9122,3
6941,4
4162,5
7111,0
8745,3
4115,8
6936,3
9290,6
2026,8
3138,10
6159,7
1019,4
2998,2
1473,7
8643,0
6588,7
2320,0
6987,2
4200,10
7416,10
8462,5
5065,5
1165,10
5451,8
1128,1
5335,2
7815,9
3056,3
4185,3
4123,8
9187,4
3860,4
3758,5
6122,3
5471,0
5862,2
5783,9
1732,6
7533,7
7222,6
1512,4
8356,8
3790,0
4488,7
1085,10
7095,2
6354,5
6189,5
6588,2
9604,8
2787,4
5665,3
9969,3
2902,7
6453,1
7066,2
4084,7
7590,7
9011,7
3200,0
7362,9
9659,0
7068,1
9310,5
8754,3
5011,5
1659,0
4630,2
9672,7
8074,1
3494,7
2705,4
1329,1
7359,9
7402,5
7217,10
4800,5
4150,4
8729,4
2281,5
4368,10
7660,3
6562,1
5043,4
6964,7
5419,10
1604,1
8195,0
4104,5
5484,10
5791,9
8298,9
5989,8
1722,0
6159,9
3437,4
9519,8
5102,3
5560,6
8356,1
8200,1
3523,8
2260,6
2185,3
3508,5
9493,5
6296,0
7602,3
1450,6
7854,8
2004,5
5334,6
7539,4
4218,3
7354,6
5417,7
6918,1
9236,1
5579,9
4933,9
6347,2
3004,4
9014,9
8334,0
4614,5
3522,9
6537,1
3281,7
8860,7
8851,3
8028,7
2881,2
1096,5
1285,3
4137,9
9307,2
8383,8
4839,9
5923,5
3905,5
4712,7
7452,2
9087,1
3059,5
4948,5
6224,9
8827,5
1214,10
4719,8
4063,6
5534,2
8699,0
4140,8
3429,3
8126,0
1266,10
7187,4
2868,1
6277,10
1747,0
9278,8
2259,5
